"Complex Name","Unit Name"
"Villas","Hutan Villa"
"Villas","Moonlight"
"Villas","Nyaman Villa 1 (1BDr)"
"Villas","Nyaman Villa 2 (1BDr)"
"Villas","Nyaman Villa 3 (2BDr)"
"Villas","Putri Salju"
"Villas","Rumah Villa"
"Villas","Semiramida"
"Villas","Tropical Tribe Villa"
"Villas","Garden Hights Villa"
"Villas","Hijau Villa"
"Villas","Tembaga Villa"
"Sacred Jungle Villas and Suites","Appartment 1 (Mezanine)"
"Sacred Jungle Villas and Suites","Appartment 2 (Mezanine)"
"Sacred Jungle Villas and Suites","Appartment 3 (Mezanine)"
"Sacred Jungle Villas and Suites","Appartment 4"
"Sacred Jungle Villas and Suites","Appartment 5"
"Sacred Jungle Villas and Suites","Appartment 6"
"Sacred Jungle Villas and Suites","Appartment 7"
"Sacred Jungle Villas and Suites","Appartment 8"
"Sacred Jungle Villas and Suites","Appartment 9 (2BDr)"
"Sacred Jungle Villas and Suites","Sacred Jungle 1 Villa 1"
"Sacred Jungle Villas and Suites","Sacred Jungle 1 Villa 2"
"Sacred Jungle Villas and Suites","Sacred Jungle 1 Villa 3"
"Sacred Jungle Villas and Suites","Sacred Jungle 2 Villa 1 (3BDr)"
"Sacred Jungle Villas and Suites","Sacred Jungle 2 Villa 2 (1BDr)"
"Sacred Jungle Villas and Suites","Sacred Jungle 2 Villa 3 (2BDr)"
"Sebelas Aprt.","Appartment 1"
"Sebelas Aprt.","Appartment 2"
"Sebelas Aprt.","Appartment 3"
"Sebelas Aprt.","Appartment 4"
"Sebelas Aprt.","Appartment 5"
"Sebelas Aprt.","Appartment 6"
"Sebelas Aprt.","Appartment 7"
"Sebelas Aprt.","Appartment 8 (2BDr)"
"Sebelas Aprt.","Appartment 9"
"Sebelas Aprt.","Appartment 10"
"Sebelas Aprt.","Appartment 11 (3BDr)"
"Dragon Stone Villas & Suites","Apartment №1 (1BD RF View)"
"Dragon Stone Villas & Suites","Apartment №2 (2BD A. RF View)"
"Dragon Stone Villas & Suites","Apartment №3 (1BD RF View)"
"Dragon Stone Villas & Suites","Apartment №4 (2BD A. RF View)"
"Dragon Stone Villas & Suites","Apartment №5 (1BD Studio)"
"Dragon Stone Villas & Suites","Apartment №6 (1BD Studio)"
"Dragon Stone Villas & Suites","Apartment №7 (1BD Studio)"
"Dragon Stone Villas & Suites","Apartment №8 (1BD Studio)"
"Dragon Stone Villas & Suites","2 BD Villa №1"
"Dragon Stone Villas & Suites","2 BD Villa №2"
"Dragon Stone Villas & Suites","2 BD Villa №3"
"Dragon Stone Villas & Suites","2 BD Villa №4"
"Dragon Stone Villas & Suites","2 BD Villa №5"
"Dragon Stone Villas & Suites","2 BD Villa №6"
"Dragon Stone Villas & Suites","3 BD Villa №1"
"Dragon Stone Villas & Suites","3 BD Villa №2"
"Dragon Stone Villas & Suites","3 BD Villa №3"
"Dragon Stone Villas & Suites","5 BD Villa Pool/Gazebo"
"Sarang Aprt.","Appartment 1"
"Sarang Aprt.","Appartment 2"
"Sarang Aprt.","Appartment 3"
"Sarang Aprt.","Appartment 4"
"Sarang Aprt.","Appartment 5"
"Sarang Aprt.","Appartment 6"
